deny,black,hisp,PIratio,HEIratio,LVmed,LVhi,creditscore,publicrecord,PMIdenied,selfemp,single,school1,uria,condo
0,0,0,.36,.29,1,0,2,0,0,0,1,1,4.3,0
0,0,0,.37,.2,0,0,1,0,0,0,0,1,4.3,0
0,0,0,.35,.26,0,0,2,0,0,0,1,1,3.6,0
0,0,0,.37,.26,1,0,2,0,0,0,1,1,2,0
0,0,0,.34,.28,1,0,2,0,0,0,0,1,4.3,0
0,0,0,.38,.28,0,0,2,0,0,0,0,1,3.9,1
0,0,0,.44,.31,0,0,1,0,0,0,0,1,3.1,0
0,0,0,.21,.07,0,0,1,0,0,0,0,1,3.2,0
0,1,0,.35,.22,1,0,1,0,0,0,0,1,4.3,0
0,0,0,.38,.28,1,0,2,0,0,0,0,1,3.1,0
0,0,0,.37,.34,1,0,2,0,0,0,1,1,3.1,0
0,1,0,.32,.28,1,0,2,0,0,0,0,1,3.2,0
0,0,0,.37,.28,1,0,2,0,0,0,0,1,3.9,0
0,0,0,.41,.1,0,0,1,0,0,0,0,1,2,1
1,0,0,.35,.34,0,1,2,0,1,0,0,1,3.2,0
1,0,0,.41,.3,0,0,4,0,0,0,0,1,3.2,0
1,0,1,.56,.55,0,0,2,0,0,0,0,1,2,0
0,0,0,.34,.28,0,0,2,1,0,0,1,1,3.1,0
0,0,0,.29,.19,1,0,2,0,0,0,0,1,3.2,0
0,1,0,.33,.26,1,0,2,0,0,0,0,1,10.6,0
1,0,0,.27,.26,1,0,2,1,0,0,0,1,3.2,0
0,1,0,.37,.27,1,0,2,0,0,0,1,1,3.2,0
1,0,0,.34,.3,0,0,2,0,0,1,0,1,3.9,0
1,0,1,.3,.23,1,0,3,0,0,0,0,0,5.3,0
1,0,1,.62,.5,1,0,1,0,0,0,0,1,4.3,0
0,0,0,.36,.2,1,0,2,0,0,0,1,1,1.8,0
1,0,1,.39,.25,1,0,2,0,0,0,1,1,3.9,0
0,0,1,.39,.24,1,0,2,0,0,0,1,1,3.2,0
0,0,0,.36,.15,0,0,1,0,0,0,1,1,3.1,0
0,0,0,.34,.32,0,0,3,0,0,0,1,1,3.2,0
0,0,0,.27,.21,1,0,2,0,0,0,0,1,2,0
0,0,0,.16,.08,0,0,1,0,0,0,1,1,3.2,0
0,0,0,.29,.21,0,0,2,0,0,0,0,1,3.1,0
0,1,0,.3,.24,1,0,2,0,0,0,1,1,1.8,0
0,0,0,.39,.28,1,0,2,0,0,0,1,1,3.1,0
1,0,0,.48,.26,1,0,2,1,0,0,1,1,3.9,0
0,0,0,.36,.26,0,0,2,0,0,0,0,1,3.2,0
0,0,0,.314,.265,1,0,2,1,0,0,0,1,3.2,0
0,0,0,.34,.28,1,0,2,1,0,0,0,1,3.9,0
0,0,0,.332,.281,1,0,2,0,0,0,1,1,10.6,0
0,0,0,.33,.33,0,0,1,0,0,1,1,1,4.3,0
0,0,0,.399,.272,0,0,2,0,0,0,1,1,10.6,1
0,0,0,.342,.322,0,0,2,0,0,0,0,1,3.2,0
0,0,0,.376,.278,1,0,1,0,0,0,1,1,3.2,1
0,0,0,.321,.251,1,0,2,0,0,0,0,1,4.3,1
0,0,0,.279,.208,0,0,2,0,0,0,0,1,5.3,0
0,0,0,.317,.246,1,0,2,0,0,0,0,1,3.2,0
0,1,0,.285,.26,0,0,2,0,0,1,0,1,3.9,0
0,0,0,.365,.24,1,0,2,0,0,0,0,1,3.1,0
0,0,0,.337,.314,0,0,1,0,0,0,0,1,3.2,0
0,0,0,.35,.27,0,0,1,0,0,0,1,1,3.2,1
0,0,0,.352,.289,1,0,2,0,0,0,1,1,3.2,1
0,0,0,.35,.28,1,0,1,0,0,0,0,1,3.2,0
0,0,0,.344,.251,1,0,2,0,0,0,0,1,3.1,0
0,0,1,.171,.09,0,0,1,0,0,1,0,1,3.2,1
0,0,0,.28,.28,0,0,2,0,0,0,1,1,3.2,0
1,0,0,.7,.619,1,0,2,0,0,0,1,1,3.9,0
0,0,0,.378,.225,1,0,2,0,0,0,0,1,4.3,0
0,0,0,.258,.194,0,0,2,0,0,0,0,1,5.3,0
0,0,0,.218,.082,1,0,1,0,0,1,0,1,10.6,0
0,0,0,.23,.17,0,0,1,0,0,0,0,1,3.1,0
0,0,0,.285,.285,0,0,2,0,0,0,0,1,3.2,0
1,0,0,.265,.265,1,0,2,1,1,0,0,1,4.3,0
0,0,0,.36,.24,0,0,4,0,0,0,1,1,5.3,1
0,0,0,.272,.27,0,0,1,0,0,0,0,1,2,0
0,0,0,.36,.22,1,0,1,0,0,1,1,1,3.2,1
1,1,0,.31,.31,1,0,2,0,0,0,0,1,3.2,0
1,0,0,.359,.289,1,0,2,0,0,0,1,1,4.3,0
0,0,0,.397,.244,0,0,1,0,0,0,0,1,3.2,0
0,0,0,.34,.26,0,0,1,0,0,1,0,1,10.6,0
1,1,0,.219,.213,0,0,2,0,0,0,0,1,4.3,0
0,0,0,.32,.32,1,0,2,0,0,0,1,1,4.3,0
0,0,0,.32,.24,1,0,2,0,0,0,0,1,4.3,0
0,0,0,.28,.28,0,0,2,0,0,0,1,1,2,0
1,1,0,.388,.32,1,0,2,0,0,0,0,1,2,0
0,0,0,.25,.18,0,0,2,0,0,0,1,1,3.2,1
0,0,0,.34,.25,1,0,1,0,0,0,0,1,10.6,0
0,0,0,.32,.22,0,0,2,0,0,0,1,1,3.2,0
1,0,1,.33,.186,1,0,2,1,0,0,1,1,10.6,0
0,0,0,.312,.256,0,0,2,0,0,1,0,1,1.8,0
0,0,0,.33,.31,0,0,2,0,0,0,1,1,4.3,1
0,0,0,.32,.31,0,0,2,0,0,0,0,1,3.2,0
0,0,0,.38,.3,1,0,1,0,0,0,0,1,10.6,0
0,0,0,.32,.2,0,0,2,0,0,0,0,1,2,0
0,0,0,.23,.22,1,0,2,0,0,0,0,1,4.3,0
0,0,0,.27,.27,0,0,2,0,0,0,0,1,4.3,0
0,0,0,.314,.314,0,0,1,0,0,0,1,1,1.8,0
0,0,0,.35,.23,1,0,2,0,0,0,1,1,3.9,0
0,0,0,.32,.27,0,0,2,0,0,1,1,1,3.2,0
0,0,0,.358,.102,1,0,1,0,0,0,0,1,3.9,0
1,0,0,.35,.33,1,0,2,0,1,0,1,1,3.9,0
0,0,0,.34,.24,1,0,2,0,0,0,0,1,3.1,0
0,0,0,.31,.22,1,0,2,0,0,1,1,1,10.6,0
0,0,0,.29,.21,0,0,3,0,0,0,0,1,3.1,0
1,0,0,.61,.39,0,0,2,0,0,0,0,1,10.6,0
0,0,0,.263,.226,0,0,1,0,0,0,0,1,3.2,0
0,0,0,.262,.258,0,0,2,0,0,0,1,1,4.3,0
0,0,0,.36,.289,0,0,2,0,0,0,0,1,3.2,0
1,0,0,.46,.31,0,1,1,0,0,1,1,1,4.3,0
0,0,0,.305,.218,0,0,2,0,0,0,0,1,3.2,0
0,0,0,.384,.28,0,0,2,0,0,0,1,1,3.9,0
0,0,0,.264,.215,0,0,2,0,0,1,0,1,10.6,0
0,0,0,.33,.309,0,0,1,0,0,0,0,1,3.2,0
1,1,0,.47,.31,1,0,2,0,0,1,1,1,3.2,0
0,0,0,.19,.18,0,0,2,0,0,0,0,1,1.8,0
0,0,0,.3,.3,1,0,2,0,0,0,1,1,4.3,0
0,0,0,.36,.26,0,0,1,0,0,0,0,1,3.9,0
0,0,0,.36,.33,0,0,1,0,0,0,1,1,3.9,0
0,0,0,.33,.26,0,0,2,0,0,0,1,1,3.9,0
0,0,0,.23,.23,0,0,2,0,0,0,1,1,3.1,1
0,0,1,.29,.25,1,0,2,0,0,0,1,1,3.2,0
0,0,0,.41,.34,1,0,1,0,0,0,0,1,3.2,0
0,0,0,.36,.3,0,1,2,0,0,0,0,1,1.8,0
1,0,0,.41,.33,0,0,2,0,0,0,0,1,1.8,0
0,0,0,.33,.33,0,0,2,0,0,0,0,1,5.3,0
1,0,0,.29,.29,0,0,2,1,0,0,1,1,1.8,1
0,0,0,.41,.28,0,0,1,0,0,0,0,1,3.1,0
0,0,0,.33,.28,1,0,2,0,0,0,0,1,3.6,0
0,0,0,.23,.19,1,0,1,0,0,0,0,1,3.2,0
1,0,0,.23,.23,0,0,1,1,0,0,0,1,1.8,0
0,0,0,.39,.34,0,0,1,0,0,1,0,1,3.2,0
0,0,0,.39,.15,0,0,1,0,0,1,0,1,3.2,0
0,0,0,.27,.24,1,0,1,0,0,0,0,1,3.2,0
0,0,0,.384,.142,1,0,1,0,0,1,1,1,4.3,1
0,1,0,.382,.277,1,0,2,0,0,0,1,1,3.9,1
0,0,0,.37,.261,0,0,2,0,0,0,0,1,3.2,0
0,0,0,.325,.323,0,0,2,0,0,0,1,1,3.2,1
0,0,0,.398,.358,0,0,1,0,0,0,1,1,3.2,0
0,0,0,.395,.306,1,0,2,0,0,0,1,1,3.2,1
0,0,0,.407,.337,0,0,2,0,0,0,1,1,3.2,1
0,0,0,.301,.199,0,0,2,0,0,0,1,1,1.8,1
0,0,0,.365,.318,1,0,2,0,0,0,1,1,3.2,0
0,0,0,.266,.257,0,0,2,0,0,0,1,1,3.2,1
0,0,0,.319,.259,1,0,2,0,0,0,1,1,1.8,0
0,0,0,.268,.242,1,0,2,0,0,0,0,1,3.2,1
0,0,0,.269,.226,0,0,2,0,0,0,0,1,3.9,1
0,1,0,.409,.315,1,0,2,0,0,0,1,1,3.2,0
0,0,0,.308,.28,0,0,2,0,0,0,0,1,3.2,0
0,0,0,.311,.311,0,0,2,0,0,0,1,1,3.2,1
0,0,0,.277,.271,0,0,1,0,0,1,1,1,3.9,0
0,1,0,.36,.3,1,0,2,0,0,0,0,1,1.8,1
0,0,1,.38,.31,1,0,2,0,0,0,0,1,3.2,1
0,0,1,.21,.21,0,0,2,0,0,0,1,0,3.1,1
0,0,0,.39,.31,1,0,2,0,0,0,0,1,3.2,0
0,1,0,.37,.34,1,0,2,0,1,0,1,1,3.2,0
0,0,1,.25,.24,0,0,2,0,0,0,0,1,3.1,1
1,1,0,.29,.29,1,0,2,0,1,0,1,1,3.1,0
0,1,0,.36,.24,1,0,2,0,0,0,0,0,3.2,0
0,0,1,.39,.32,1,0,2,0,0,0,0,1,3.6,1
0,0,0,.32,.32,0,0,2,0,0,0,0,1,3.2,0
0,0,0,.18,.16,0,0,2,0,0,0,0,1,5.3,0
0,0,0,.34,.27,0,0,2,0,0,0,0,1,1.8,0
0,1,0,.328,.328,1,0,2,0,0,0,1,1,3.1,1
0,1,0,.3733,.2977,1,0,2,0,0,0,1,1,4.3,0
1,1,0,.3838,.2894,0,1,2,0,0,0,1,1,3.2,1
0,1,0,.3767,.2858,1,0,2,0,0,0,1,1,3.2,0
0,1,0,.338,.253,1,0,2,0,0,0,0,1,3.2,1
0,0,0,.281,.271,0,0,2,0,0,0,0,1,3.2,0
0,0,0,.3339,.2584,0,0,2,0,0,0,0,1,3.1,0
1,1,0,.3923,.3338,1,0,2,1,0,0,1,1,4.3,1
0,0,0,.363,.209,0,0,1,0,0,0,0,1,3.2,0
0,0,0,.2458,.2308,0,0,1,0,0,0,0,1,2,0
0,0,0,.3821,.3309,0,0,2,0,0,0,0,1,3.2,0
0,0,0,.37,.26,0,0,2,0,0,0,0,1,3.6,0
0,0,0,.32,.28,0,0,1,0,0,0,0,1,2,0
0,1,0,.286,.255,0,0,2,0,0,0,0,1,2,1
0,0,0,.266,.21,0,0,1,0,0,0,1,1,1.8,0
0,1,0,.315,.287,1,0,1,0,0,0,0,1,3.2,0
0,1,0,.3047,.239,0,0,2,0,0,0,1,1,3.6,0
0,0,0,.338,.292,1,0,2,0,0,0,1,1,3.2,0
0,1,0,.472,.466,1,0,2,0,0,0,1,1,3.2,0
0,0,0,.366,.273,0,0,2,0,0,0,1,1,3.2,1
0,1,0,.371,.245,0,0,2,0,0,1,0,1,3.2,1
0,0,0,.381,.319,0,0,2,0,0,0,0,1,3.6,0
0,1,0,.365,.356,1,0,2,0,0,0,0,1,3.2,0
0,1,0,.35,.31,1,0,2,0,0,0,1,1,3.9,1
0,1,0,.34,.29,0,1,2,0,0,0,0,1,5.3,0
0,1,0,.35,.27,0,0,2,0,0,0,1,1,3.2,0
0,0,0,.2652,.2125,1,0,2,0,0,0,0,1,3.6,0
0,0,0,.35,.26,1,0,2,0,0,0,1,1,3.2,0
1,1,0,.39,.26,1,0,2,0,0,0,1,1,3.2,1
1,0,0,.39,.24,0,0,2,0,0,1,1,1,4.3,0
0,0,0,.3,.17,0,0,1,0,0,0,0,1,3.1,0
0,0,0,.29,.29,0,0,1,0,0,0,0,1,1.8,0
0,0,1,.19,.12,0,0,2,0,0,0,1,1,5.3,0
0,0,0,.35,.34,1,0,2,0,0,0,0,1,3.6,1
0,0,0,.39,.27,1,0,1,0,0,0,1,1,2,0
0,1,0,.35,.27,1,0,2,0,0,0,0,1,3.2,0
0,1,0,.36,.28,1,0,2,0,0,0,1,1,3.9,0
0,0,0,.26,.26,0,0,1,0,0,0,1,1,1.8,1
0,0,0,.36,.23,0,0,1,0,0,0,1,1,3.2,1
0,0,0,.27,.22,0,0,2,0,0,0,0,1,3.9,0
0,0,0,.357,.2,1,0,2,0,0,0,1,1,3.1,1
0,1,0,.3,.197,1,0,2,0,0,0,0,1,3.1,1
0,1,0,.35,.27,1,0,2,0,0,0,0,1,3.2,0
0,1,0,.39,.29,1,0,2,0,0,0,0,1,2,1
0,0,0,.31,.3,1,0,2,0,0,0,0,1,1.8,0
1,0,0,.43,.21,0,0,1,0,0,1,0,1,3.2,1
1,1,0,.4,.26,0,0,2,1,1,0,0,1,3.2,0
0,1,0,.34,.23,1,0,2,0,0,0,1,1,3.1,0
1,0,0,.406,.406,1,0,2,0,0,1,0,1,3.6,0
1,0,0,.23,.13,0,0,2,0,0,0,0,1,3.6,0
1,0,0,.73,.37,0,0,1,0,0,1,1,1,3.2,0
0,1,0,.38,.35,0,0,2,0,0,0,1,1,2,1
0,1,0,.383,.3609,0,0,2,0,0,0,1,1,3.1,1
0,0,0,.32,.221,1,0,2,0,0,0,0,0,10.6,1
0,0,0,.293,.25,1,0,2,0,0,0,0,1,3.9,0
0,0,0,.2403,.235,0,0,2,0,0,0,1,1,1.8,1
0,0,0,.194,.115,0,0,2,0,0,0,1,1,3.2,1
0,1,0,.294,.259,0,0,2,0,0,0,1,1,1.8,1
0,1,0,.382,.269,0,0,2,0,0,0,1,1,3.2,1
0,1,0,.3798,.2796,0,0,2,0,0,1,1,1,3.2,1
0,1,0,.3359,.2194,1,0,2,0,0,0,0,1,3.2,0
0,1,0,.3903,.2772,0,0,2,0,0,0,1,1,3.9,1
0,1,0,.3928,.3038,1,0,2,0,0,0,1,1,3.9,1
0,1,0,.354,.189,0,1,2,0,0,0,1,1,3.2,0
0,0,1,.2,.03,0,0,2,0,0,0,1,0,3.6,0
0,0,0,.28,.28,1,0,2,0,0,0,0,1,3.6,0
0,0,1,.33,.32,0,0,2,0,0,0,1,1,3.2,0
0,0,0,.31,.26,1,0,2,0,0,0,0,1,3.6,0
0,0,0,.3841,.2091,1,0,2,0,0,1,1,1,3.6,1
0,1,0,.334,.286,1,0,2,0,0,0,1,1,3.9,0
0,1,0,.29,.26,1,0,2,0,0,0,1,1,3.9,1
0,1,0,.3678,.1617,1,0,1,0,0,0,1,1,3.1,0
0,0,1,.3009,.2806,0,1,2,0,0,0,0,1,5.3,0
0,0,0,.3309,.3005,0,0,2,0,0,0,1,1,1.8,1
0,1,0,.3369,.3214,1,0,2,0,0,0,1,1,2,0
1,0,1,.3143,.2243,1,0,2,0,0,0,1,1,4.3,0
0,0,0,.3423,.314,1,0,2,0,0,0,0,0,10.6,0
1,1,0,.3027,.2577,0,1,2,0,0,0,1,1,3.9,0
0,0,1,.3199,.3119,1,0,2,0,0,0,0,1,3.2,0
1,0,1,.358,.358,0,0,2,0,0,0,0,1,10.6,1
0,0,0,.3191,.2652,0,0,2,0,0,0,0,1,3.1,1
0,0,0,.2463,.211,0,0,2,0,0,0,0,1,4.3,1
0,0,0,.286,.2527,0,0,2,0,0,1,0,1,10.6,0
0,0,0,.27,.27,0,0,2,0,0,0,1,1,3.2,0
0,0,0,.282,.2512,1,0,2,0,0,1,1,1,4.3,0
0,1,0,.36,.36,0,0,2,0,0,0,1,1,3.2,0
0,0,0,.3244,.2918,0,0,1,0,0,1,1,1,1.8,1
0,0,0,.348,.1889,0,0,2,0,0,1,0,1,3.9,0
0,0,0,.296,.296,0,0,2,0,0,0,1,1,1.8,1
0,0,0,.2963,.1891,1,0,2,0,0,0,0,1,3.1,0
0,0,1,.314,.314,0,0,2,0,0,0,1,1,3.1,0
0,0,0,.3198,.2627,0,0,1,0,0,0,0,0,3.2,0
0,0,0,.4001,.2788,0,0,2,0,0,1,1,1,3.2,0
0,0,0,.2763,.2544,0,0,2,0,0,0,0,1,2,0
0,0,0,.3524,.2899,0,0,2,0,0,0,1,1,3.9,0
0,0,0,.3167,.2915,0,0,1,0,0,0,0,1,3.1,0
0,0,0,.1238,.1218,0,0,2,0,0,0,0,1,1.8,0
0,0,0,.34,.27,0,1,2,0,0,0,1,1,3.1,1
0,0,0,.14,.12,0,0,1,0,0,1,0,1,10.6,0
0,0,0,.2116,.1818,0,0,2,0,0,1,0,1,10.6,0
0,0,0,.1607,.1369,1,0,1,0,0,0,0,1,2,0
0,0,0,.278,.27,0,0,4,0,0,1,0,1,10.6,0
0,0,0,.2826,.2752,0,0,1,0,0,0,0,1,1.8,0
0,0,0,.289,.2846,0,0,1,0,0,0,0,1,3.2,0
0,0,0,.2847,.2415,1,0,1,0,0,1,0,1,3.9,0
0,0,0,.3,.25,0,0,1,0,0,0,0,1,10.6,0
0,0,0,.36,.28,0,0,2,0,0,0,0,1,3.1,0
0,0,0,.32,.27,0,0,1,0,0,0,0,1,3.9,0
1,0,0,.32,.32,0,0,1,0,0,0,0,1,3.2,0
0,0,0,.26,.2,0,0,1,0,0,0,0,1,3.2,0
0,0,0,.26,.21,0,0,1,0,0,0,0,1,3.6,0
1,0,0,.32,.26,0,0,1,0,0,1,1,1,1.8,1
0,1,0,.42,.33,1,0,3,1,0,0,1,1,3.2,0
0,0,0,.34,.33,0,0,2,0,0,0,1,1,1.8,1
0,0,0,.37,.34,1,0,2,0,0,0,0,1,3.1,0
0,0,0,.29,.28,0,0,2,0,0,0,1,1,2,0
0,0,0,.35,.31,0,0,2,0,0,0,1,1,1.8,0
0,0,0,.31,.31,1,0,2,0,0,0,1,1,3.2,0
0,0,0,.4,.27,1,0,2,0,0,0,1,1,4.3,1
0,0,0,.36,.3,1,0,2,0,0,0,1,1,3.2,1
0,0,0,.38,.27,0,0,1,0,0,0,0,1,3.9,0
0,0,0,.37,.26,0,0,1,0,0,0,0,1,2,0
0,0,0,.41,.23,0,0,1,0,0,0,1,1,1.8,0
0,0,0,.32,.31,0,0,2,0,0,0,1,1,3.2,1
0,0,0,.33,.26,1,0,2,0,0,0,0,1,4.3,0
0,0,0,.33,.26,1,0,2,0,0,0,0,1,10.6,0
0,1,0,.38,.29,1,0,1,0,0,0,0,1,3.1,0
0,0,0,.29,.21,0,0,2,0,0,0,1,1,3.2,0
0,0,0,.3,.26,1,0,2,0,0,0,1,1,1.8,0
0,0,0,.37,.11,0,0,1,0,0,1,1,1,3.2,0
0,0,0,.36,.2,1,0,2,1,0,0,1,1,5.3,0
0,0,0,.37,.3,0,0,2,0,0,0,0,1,3.6,0
0,0,0,.3,.3,0,0,1,0,0,0,1,1,5.3,0
0,0,0,.34,.34,1,0,2,0,0,0,0,1,3.6,0
0,0,0,.42,.26,0,0,2,0,0,1,0,1,3.2,0
0,0,0,.08,0,1,0,2,0,0,0,1,1,3.2,0
0,0,0,.2,.08,0,0,1,0,0,0,0,1,3.2,1
0,0,0,.3,.29,0,0,1,0,0,0,0,1,3.1,0
0,0,0,.31,.31,0,0,2,1,0,0,0,1,4.3,0
0,0,0,.38,.27,1,0,1,0,0,0,0,1,3.2,0
0,0,0,.34,.31,1,0,2,0,0,0,1,1,5.3,0
0,0,1,.32,.24,1,0,2,0,0,0,0,0,3.2,0
0,0,0,.29,.26,0,0,1,0,0,1,0,1,4.3,0
0,0,0,.32,.29,1,0,2,0,0,0,0,1,3.1,0
0,0,1,.38,.24,1,0,2,0,0,0,0,1,3.2,0
0,0,0,.36,.3,1,0,2,0,0,0,0,1,3.2,0
0,0,0,.41,.3,0,0,1,0,0,0,0,1,3.2,0
0,0,0,.32,.28,0,0,2,0,0,0,1,1,1.8,1
0,1,0,.38,.31,1,0,2,0,0,0,0,1,10.6,0
0,0,0,.2,.04,0,0,1,0,0,0,1,1,3.6,1
1,0,0,.41,.25,1,0,1,1,0,0,0,1,3.1,0
0,0,0,.3,0,1,0,1,0,0,0,0,1,3.1,0
0,0,0,.31,.25,0,0,2,0,0,0,0,1,3.2,0
0,0,0,.28,.22,1,0,2,0,0,0,1,1,3.1,0
0,0,0,.25,.25,0,0,2,0,0,0,0,1,3.1,0
0,0,0,.29,.28,0,0,2,0,0,0,0,1,3.2,0
1,0,0,.49,.37,1,0,1,0,0,0,1,1,3.2,0
0,0,0,.33,.24,1,0,2,0,0,0,0,1,3.1,0
0,0,0,.45,.21,1,0,1,0,0,0,0,1,3.1,0
1,0,0,.41,.35,1,0,2,0,1,0,1,1,4.3,0
0,0,0,.35,.28,1,0,2,0,0,0,0,1,3.1,0
0,0,0,.35,.3,0,0,3,0,0,0,0,1,3.9,0
0,0,0,.08,.07,0,0,2,0,0,1,0,1,3.9,0
0,0,0,.25,.25,0,0,2,0,0,0,1,1,4.3,0
0,0,0,.48,.15,0,0,2,0,0,0,0,1,4.3,0
0,0,0,.36,.01,0,1,2,0,0,1,0,1,1.8,1
0,0,0,.32,.31,1,0,2,0,0,0,0,1,10.6,0
0,0,0,.27,.2,1,0,2,0,0,0,0,1,10.6,0
0,0,0,.34,.27,0,0,1,0,0,0,0,1,3.2,0
0,0,0,.1987,.1987,0,1,1,0,0,0,0,1,3.6,0
0,0,0,.33,.3,0,0,2,1,0,0,1,1,3.2,0
0,0,0,.28,.33,0,0,2,1,0,0,0,1,3.2,0
0,0,0,.34,.26,1,0,1,0,0,0,0,1,3.2,0
0,0,0,.37,.36,0,0,2,0,0,0,1,1,3.2,0
0,0,0,.3,.26,0,0,2,0,0,0,1,1,3.2,0
0,0,0,.36,.33,0,0,2,0,0,0,0,1,1.8,0
0,0,0,.3551,.1998,0,0,4,0,0,1,0,1,3.6,0
0,0,0,.25,.19,0,0,2,0,0,1,1,1,3.2,0
0,0,0,.14,.13,0,0,1,0,0,0,0,1,1.8,0
0,0,0,.44,.2,0,0,1,0,0,1,0,1,10.6,1
0,0,0,.45,.3,0,1,2,0,0,0,0,1,3.2,0
0,0,0,.37,.26,1,0,2,0,0,1,0,1,10.6,0
0,0,0,.34,.3,0,0,1,0,0,0,0,1,4.3,0
0,0,0,.2704,.1675,0,0,3,0,0,0,0,1,3.1,1
0,0,0,.23,.23,0,0,2,0,0,0,0,1,5.3,0
0,0,0,.34,.29,1,0,2,0,0,0,1,1,3.2,0
0,0,0,.33,.26,0,0,2,0,0,0,1,1,5.3,0
0,0,0,.375,.2697,0,0,2,0,0,0,1,1,3.2,0
0,0,0,.3357,.3246,0,0,1,0,0,0,0,1,2,0
0,0,0,.2779,.00085,0,0,2,0,0,0,0,1,3.2,0
0,0,0,.41,.12,0,0,1,0,0,0,0,1,3.6,0
0,0,0,.3629,.3015,0,0,1,0,0,0,0,1,3.2,0
0,0,0,.3088,.2256,0,0,2,0,0,0,0,1,3.1,0
0,0,0,.366,.282,0,0,2,0,0,0,0,1,4.3,0
0,0,0,.3149,.2579,1,0,2,0,0,0,1,1,4.3,0
0,0,0,.2752,.2033,1,0,1,0,0,0,0,1,3.6,1
0,0,0,.35,.2,0,0,1,0,0,0,0,1,5.3,0
0,0,0,.3327,.2677,0,0,2,0,0,0,1,1,3.6,0
0,0,0,.32,.26,0,0,3,0,0,0,0,1,10.6,0
1,0,0,.2642,.2585,0,0,1,0,1,0,0,1,3.2,1
1,0,0,.3397,.1782,0,0,1,0,0,0,0,1,10.6,0
1,0,0,.3397,.1782,0,0,1,0,0,0,0,1,10.6,0
0,0,0,.3606,.2802,0,0,2,0,0,0,0,1,3.6,0
0,0,0,.3768,.202,1,0,1,0,0,1,0,1,1.8,0
0,1,0,.301,.278,1,0,2,0,0,0,0,1,3.2,0
0,0,0,.54,.54,0,0,2,0,0,0,1,1,3.2,0
0,0,0,.351,.337,0,0,2,0,0,0,0,1,3.1,0
0,0,0,.389,.271,1,0,2,0,0,0,1,1,3.1,1
1,0,0,.43,.32,0,0,3,0,0,1,0,1,3.2,0
1,0,0,.43,.43,0,0,2,1,0,1,0,1,3.9,0
0,0,0,.15,.05,0,0,1,0,0,0,0,1,10.6,0
0,0,0,.34,.28,1,0,2,0,0,0,1,1,4.3,0
0,0,0,.31,.21,0,0,1,0,0,0,1,1,1.8,1
0,0,0,.37,.28,1,0,2,0,0,0,0,1,3.2,0
0,0,0,.31,.27,1,0,2,0,0,0,0,1,5.3,0
0,0,0,.3,.2,1,0,2,0,0,0,0,1,3.2,1
0,0,0,.16,.16,0,0,1,0,0,0,0,1,10.6,0
0,0,0,.36,.23,1,0,2,0,0,0,0,1,3.1,0
